ts,open,high,low,close,volume,datetime
1730930400000,0.3608,0.3654,0.3591,0.3645,5150686.0,2024-11-06 22:00:00
1730934000000,0.3646,0.3656,0.362,0.363,5591359.5,2024-11-06 23:00:00
1730937600000,0.3631,0.3656,0.3613,0.3633,6321823.7,2024-11-07 00:00:00
1730941200000,0.3633,0.375,0.3629,0.3716,17735312.7,2024-11-07 01:00:00
1730944800000,0.3716,0.3766,0.3713,0.3764,6931334.8,2024-11-07 02:00:00
1730948400000,0.3764,0.3784,0.3726,0.3733,8574647.8,2024-11-07 03:00:00
1730952000000,0.3734,0.3736,0.3696,0.3722,6756585.6,2024-11-07 04:00:00
1730955600000,0.3722,0.3729,0.3683,0.3709,7457063.9,2024-11-07 05:00:00
1730959200000,0.3709,0.3732,0.3657,0.3686,6420683.6,2024-11-07 06:00:00
1730962800000,0.3685,0.3699,0.3674,0.3688,2667003.8,2024-11-07 07:00:00
1730966400000,0.3688,0.3709,0.3684,0.3698,2748133.1,2024-11-07 08:00:00
1730970000000,0.3698,0.3731,0.3689,0.3715,8339206.0,2024-11-07 09:00:00
1730973600000,0.3716,0.3719,0.3694,0.37,3986523.3,2024-11-07 10:00:00
1730977200000,0.3701,0.3714,0.3696,0.3698,2621124.3,2024-11-07 11:00:00
1730980800000,0.3697,0.3763,0.3697,0.3762,5137845.1,2024-11-07 12:00:00
1730984400000,0.3763,0.3778,0.3713,0.3717,6114302.2,2024-11-07 13:00:00
1730988000000,0.3718,0.3766,0.3712,0.375,4905854.8,2024-11-07 14:00:00
1730991600000,0.375,0.3885,0.3739,0.3884,12510654.1,2024-11-07 15:00:00
1730995200000,0.3885,0.392,0.3848,0.3912,20459567.0,2024-11-07 16:00:00
1730998800000,0.3912,0.3938,0.389,0.39,9785189.7,2024-11-07 17:00:00
1731002400000,0.39,0.3948,0.3883,0.3939,10156256.4,2024-11-07 18:00:00
1731006000000,0.394,0.3942,0.3896,0.3933,8273955.9,2024-11-07 19:00:00
1731009600000,0.3933,0.3995,0.3931,0.397,14385042.4,2024-11-07 20:00:00
1731013200000,0.397,0.4012,0.396,0.4007,9673570.7,2024-11-07 21:00:00
1731016800000,0.4006,0.4043,0.3952,0.3963,17938500.6,2024-11-07 22:00:00
1731020400000,0.3963,0.4068,0.3944,0.4065,13470033.0,2024-11-07 23:00:00
1731024000000,0.4066,0.4177,0.4038,0.4122,26227073.3,2024-11-08 00:00:00
1731027600000,0.4123,0.4208,0.4085,0.4141,23902846.2,2024-11-08 01:00:00
1731031200000,0.414,0.4178,0.41,0.4124,13956268.6,2024-11-08 02:00:00
1731034800000,0.4123,0.4227,0.411,0.4218,18573384.5,2024-11-08 03:00:00
1731038400000,0.4218,0.4297,0.4187,0.4204,24749961.7,2024-11-08 04:00:00
1731042000000,0.4203,0.435,0.4201,0.4348,19589490.1,2024-11-08 05:00:00
1731045600000,0.4348,0.4436,0.4301,0.4305,40694665.6,2024-11-08 06:00:00
1731049200000,0.4304,0.4334,0.4273,0.4279,18663399.1,2024-11-08 07:00:00
