ts,open,high,low,close,volume,datetime
1730930400000,375.2,382.3,374.7,381.3,5157.544,2024-11-06 22:00:00
1730934000000,381.3,381.5,377.3,378.4,2582.305,2024-11-06 23:00:00
1730937600000,378.4,380.4,376.9,379.6,3987.737,2024-11-07 00:00:00
1730941200000,379.6,386.9,378.6,382.2,8294.563,2024-11-07 01:00:00
1730944800000,382.0,385.5,381.6,385.3,3007.029,2024-11-07 02:00:00
1730948400000,385.4,385.7,378.8,379.3,3846.113,2024-11-07 03:00:00
1730952000000,379.3,379.9,374.4,376.9,4336.411,2024-11-07 04:00:00
1730955600000,376.9,377.1,374.3,376.4,1699.751,2024-11-07 05:00:00
1730959200000,376.5,376.7,370.5,373.8,2841.272,2024-11-07 06:00:00
1730962800000,374.0,375.4,372.9,374.0,1259.174,2024-11-07 07:00:00
1730966400000,374.0,378.4,373.7,378.0,1814.807,2024-11-07 08:00:00
1730970000000,378.1,378.1,375.7,376.4,987.464,2024-11-07 09:00:00
1730973600000,376.4,378.5,374.7,377.4,2467.669,2024-11-07 10:00:00
1730977200000,377.6,378.6,375.2,375.3,1150.058,2024-11-07 11:00:00
1730980800000,375.3,378.9,375.3,377.4,1362.237,2024-11-07 12:00:00
1730984400000,377.4,377.8,374.0,374.1,1590.054,2024-11-07 13:00:00
1730988000000,374.3,377.7,373.2,375.5,2245.502,2024-11-07 14:00:00
1730991600000,375.7,382.6,374.9,382.4,4746.098,2024-11-07 15:00:00
1730995200000,382.5,385.7,379.8,383.5,4147.941,2024-11-07 16:00:00
1730998800000,383.5,383.9,381.4,382.7,2147.062,2024-11-07 17:00:00
1731002400000,382.8,385.9,380.4,384.0,2082.865,2024-11-07 18:00:00
1731006000000,384.0,384.5,379.8,382.4,3217.828,2024-11-07 19:00:00
1731009600000,382.4,385.6,382.0,384.6,3591.096,2024-11-07 20:00:00
1731013200000,384.7,386.7,382.9,382.9,2060.844,2024-11-07 21:00:00
1731016800000,383.0,383.9,379.2,380.5,2258.978,2024-11-07 22:00:00
1731020400000,380.5,381.1,374.5,377.5,4043.139,2024-11-07 23:00:00
1731024000000,377.5,382.7,377.5,380.6,3623.885,2024-11-08 00:00:00
1731027600000,380.8,383.8,378.2,379.2,2197.059,2024-11-08 01:00:00
1731031200000,379.1,379.6,375.1,375.4,1921.911,2024-11-08 02:00:00
1731034800000,375.4,377.7,374.7,376.7,2069.073,2024-11-08 03:00:00
1731038400000,376.8,378.5,375.3,375.9,1695.325,2024-11-08 04:00:00
1731042000000,375.8,378.9,375.7,378.3,2528.327,2024-11-08 05:00:00
1731045600000,378.3,381.9,377.7,381.9,2585.341,2024-11-08 06:00:00
1731049200000,381.9,382.8,368.2,371.9,13648.815,2024-11-08 07:00:00
1731052800000,371.9,374.0,370.1,370.7,4075.119,2024-11-08 08:00:00
1731056400000,370.7,374.0,370.2,372.5,2022.365,2024-11-08 09:00:00
1731060000000,372.5,375.7,370.9,374.9,2322.138,2024-11-08 10:00:00
