ts,open,high,low,close,volume,datetime
1730930400000,590.02,595.0,589.02,594.06,15049.797,2024-11-06 22:00:00
1730934000000,594.06,594.89,590.1,592.22,12492.799,2024-11-06 23:00:00
1730937600000,592.22,597.22,591.21,594.84,20255.691,2024-11-07 00:00:00
1730941200000,594.83,606.99,594.51,601.81,47311.789,2024-11-07 01:00:00
1730944800000,601.8,608.64,601.77,608.63,26072.944,2024-11-07 02:00:00
1730948400000,608.63,611.2,603.8,604.68,34434.995,2024-11-07 03:00:00
1730952000000,604.68,606.0,599.1,600.88,17650.093,2024-11-07 04:00:00
1730955600000,600.88,601.35,598.54,599.49,10996.071,2024-11-07 05:00:00
1730959200000,599.49,599.55,590.66,595.1,18415.196,2024-11-07 06:00:00
1730962800000,595.06,597.28,594.45,595.75,11918.1,2024-11-07 07:00:00
1730966400000,595.75,597.43,593.78,596.34,12768.872,2024-11-07 08:00:00
1730970000000,596.35,596.35,593.78,595.83,12515.295,2024-11-07 09:00:00
1730973600000,595.83,595.86,592.78,594.8,7151.735,2024-11-07 10:00:00
1730977200000,594.8,595.8,592.08,592.28,6225.946,2024-11-07 11:00:00
1730980800000,592.27,595.48,592.19,594.03,7245.044,2024-11-07 12:00:00
1730984400000,594.02,594.58,589.7,589.81,11464.175,2024-11-07 13:00:00
1730988000000,589.81,593.38,587.01,590.29,16866.088,2024-11-07 14:00:00
1730991600000,590.3,598.09,589.6,597.9,14508.694,2024-11-07 15:00:00
1730995200000,597.89,599.58,595.15,598.5,12818.18,2024-11-07 16:00:00
1730998800000,598.51,601.0,597.53,599.99,14233.552,2024-11-07 17:00:00
1731002400000,600.0,601.15,598.0,600.71,12689.914,2024-11-07 18:00:00
1731006000000,600.71,601.0,595.6,598.99,17969.665,2024-11-07 19:00:00
1731009600000,598.99,600.99,598.41,600.11,11736.161,2024-11-07 20:00:00
1731013200000,600.17,603.0,600.06,600.95,11494.37,2024-11-07 21:00:00
1731016800000,600.95,601.3,595.92,597.23,9062.636,2024-11-07 22:00:00
1731020400000,597.23,599.34,595.62,598.26,11795.3,2024-11-07 23:00:00
1731024000000,598.27,605.0,598.27,604.61,19744.885,2024-11-08 00:00:00
1731027600000,604.61,605.9,600.0,602.26,15205.588,2024-11-08 01:00:00
1731031200000,602.26,602.28,593.1,593.86,17681.906,2024-11-08 02:00:00
1731034800000,593.87,597.29,592.78,596.65,12565.05,2024-11-08 03:00:00
1731038400000,596.65,598.52,595.02,595.81,6644.596,2024-11-08 04:00:00
1731042000000,595.81,599.5,595.6,598.87,9731.33,2024-11-08 05:00:00
1731045600000,598.87,599.4,597.13,597.77,8212.5,2024-11-08 06:00:00
1731049200000,597.78,600.87,595.18,598.95,17531.263,2024-11-08 07:00:00
1731052800000,598.96,599.28,594.25,594.44,13370.975,2024-11-08 08:00:00
1731056400000,594.45,597.91,594.39,597.39,12196.158,2024-11-08 09:00:00
1731060000000,597.39,599.18,595.9,598.81,10227.044,2024-11-08 10:00:00
1731063600000,598.8,599.27,595.8,595.88,7897.141,2024-11-08 11:00:00
1731067200000,595.88,598.9,595.71,598.8,9080.174,2024-11-08 12:00:00
1731070800000,598.79,599.38,595.71,599.12,11816.844,2024-11-08 13:00:00
1731074400000,599.12,601.42,595.52,596.51,20621.501,2024-11-08 14:00:00
1731078000000,596.51,599.6,594.7,597.33,19119.088,2024-11-08 15:00:00
1731081600000,597.33,597.91,589.2,591.07,25826.049,2024-11-08 16:00:00
1731085200000,591.06,594.3,588.1,593.4,17401.155,2024-11-08 17:00:00
1731088800000,593.41,596.63,591.81,596.2,11330.755,2024-11-08 18:00:00
1731092400000,596.13,598.73,595.55,597.49,13833.678,2024-11-08 19:00:00
1731096000000,597.49,598.3,593.04,595.22,11518.104,2024-11-08 20:00:00
1731099600000,595.23,596.14,592.72,595.11,7213.194,2024-11-08 21:00:00
1731103200000,595.1,597.4,595.1,596.16,12702.375,2024-11-08 22:00:00
1731106800000,596.18,597.85,595.7,597.82,7281.365,2024-11-08 23:00:00
1731110400000,597.82,611.0,597.51,607.9,49427.591,2024-11-09 00:00:00
1731114000000,607.87,628.05,607.48,627.96,134854.15,2024-11-09 01:00:00
1731117600000,627.95,631.0,621.29,629.92,71691.695,2024-11-09 02:00:00
1731121200000,629.9,638.0,629.1,635.4,66659.484,2024-11-09 03:00:00
1731124800000,635.4,636.23,626.64,627.27,68805.638,2024-11-09 04:00:00
1731128400000,627.27,635.41,627.26,633.77,41820.936,2024-11-09 05:00:00
1731132000000,633.78,634.3,628.32,630.56,35254.537,2024-11-09 06:00:00
1731135600000,630.56,630.8,627.18,628.95,22202.896,2024-11-09 07:00:00
1731139200000,628.95,632.18,626.76,631.49,20679.707,2024-11-09 08:00:00
1731142800000,631.5,633.9,629.01,629.61,18245.4,2024-11-09 09:00:00
1731146400000,629.61,629.9,623.27,626.34,17709.107,2024-11-09 10:00:00
1731150000000,626.34,626.99,624.02,625.71,13536.717,2024-11-09 11:00:00
1731153600000,625.71,626.98,621.76,623.25,16669.642,2024-11-09 12:00:00
1731157200000,623.25,625.3,623.25,623.63,12328.586,2024-11-09 13:00:00
1731160800000,623.64,623.99,616.37,618.26,24793.012,2024-11-09 14:00:00
1731164400000,618.27,618.9,615.93,616.54,17667.919,2024-11-09 15:00:00
1731168000000,616.54,621.63,616.25,619.36,23970.316,2024-11-09 16:00:00
1731171600000,619.36,619.5,610.0,618.55,24717.896,2024-11-09 17:00:00
1731175200000,618.55,619.3,617.61,618.29,5848.78,2024-11-09 18:00:00
1731178800000,618.29,620.69,614.39,615.98,16093.776,2024-11-09 19:00:00
1731182400000,615.99,620.56,614.14,618.94,15001.945,2024-11-09 20:00:00
1731186000000,618.94,620.6,616.83,620.32,13325.972,2024-11-09 21:00:00
1731189600000,620.32,624.57,619.81,623.71,13346.18,2024-11-09 22:00:00
1731193200000,623.72,627.71,622.56,624.66,27520.773,2024-11-09 23:00:00
1731196800000,624.67,629.2,622.27,626.09,24546.194,2024-11-10 00:00:00
1731200400000,626.09,626.97,623.12,624.28,15238.657,2024-11-10 01:00:00
1731204000000,624.28,630.37,624.21,626.79,22810.407,2024-11-10 02:00:00
1731207600000,626.8,630.38,625.7,627.66,20423.003,2024-11-10 03:00:00
1731211200000,627.67,634.99,625.53,633.8,32206.871,2024-11-10 04:00:00
1731214800000,633.8,634.89,629.59,631.6,79069.46,2024-11-10 05:00:00
1731218400000,631.61,632.8,620.0,630.17,36870.547,2024-11-10 06:00:00
1731222000000,630.18,633.67,628.71,629.53,18485.681,2024-11-10 07:00:00
1731225600000,629.53,634.99,629.1,633.32,28937.165,2024-11-10 08:00:00
1731229200000,633.32,637.83,632.0,634.76,35117.363,2024-11-10 09:00:00
1731232800000,634.76,638.6,631.76,634.81,33289.802,2024-11-10 10:00:00
1731236400000,634.82,644.2,632.8,641.53,42393.709,2024-11-10 11:00:00
1731240000000,641.54,642.49,632.4,637.18,41748.484,2024-11-10 12:00:00
1731243600000,637.2,639.0,634.38,638.99,23431.008,2024-11-10 13:00:00
1731247200000,638.99,642.7,631.3,634.2,48703.027,2024-11-10 14:00:00
1731250800000,634.2,639.98,631.4,639.91,26816.157,2024-11-10 15:00:00
1731254400000,639.9,641.85,635.79,639.01,29344.842,2024-11-10 16:00:00
