ts,open,high,low,close,volume,datetime
1762429500000,103173.53,103272.24,103139.36,103227.58,105.5872,2025-11-06 11:45:00
1762430400000,103227.59,103333.18,102985.0,103014.41,190.86665,2025-11-06 12:00:00
1762431300000,103014.41,103020.33,102792.3,102802.7,187.68376,2025-11-06 12:15:00
1762432200000,102802.7,102997.6,102427.0,102449.13,367.00017,2025-11-06 12:30:00
1762433100000,102449.13,102655.97,102383.64,102552.38,305.59507,2025-11-06 12:45:00
1762434000000,102552.39,102944.99,102552.38,102893.64,189.17179,2025-11-06 13:00:00
1762434900000,102893.64,103626.46,102870.3,103496.81,373.73372,2025-11-06 13:15:00
1762435800000,103496.82,103571.86,103150.47,103293.94,257.76649,2025-11-06 13:30:00
1762436700000,103293.94,103515.59,103293.93,103319.71,120.51098,2025-11-06 13:45:00
1762437600000,103319.71,103579.68,102701.02,103030.78,298.9802,2025-11-06 14:00:00
1762438500000,103030.78,103125.0,102755.16,102901.5,202.42938,2025-11-06 14:15:00
1762439400000,102901.5,102919.54,102202.0,102516.9,661.51188,2025-11-06 14:30:00
1762440300000,102516.9,102910.44,102044.63,102125.0,498.08651,2025-11-06 14:45:00
1762441200000,102124.99,102472.0,101900.0,102233.47,733.33871,2025-11-06 15:00:00
1762442100000,102233.47,102932.94,102125.33,102438.02,724.58351,2025-11-06 15:15:00
1762443000000,102438.03,102463.38,101729.65,101806.6,862.49041,2025-11-06 15:30:00
1762443900000,101806.6,102152.07,101630.0,102014.48,706.79704,2025-11-06 15:45:00
1762444800000,102014.49,102393.51,101790.27,101790.98,559.67432,2025-11-06 16:00:00
1762445700000,101790.97,101915.77,101535.87,101805.84,478.84852,2025-11-06 16:15:00
1762446600000,101805.83,101805.83,100300.95,100593.45,1082.41411,2025-11-06 16:30:00
1762447500000,100593.44,101167.7,100330.14,100867.2,914.79026,2025-11-06 16:45:00
1762448400000,100867.19,101491.64,100770.57,100957.42,416.87209,2025-11-06 17:00:00
1762449300000,100957.41,101493.0,100855.62,101432.12,267.91246,2025-11-06 17:15:00
1762450200000,101432.11,101559.41,101198.01,101350.0,279.18278,2025-11-06 17:30:00
1762451100000,101350.0,101946.31,101349.99,101804.01,346.80315,2025-11-06 17:45:00
1762452000000,101804.02,101804.02,101299.59,101391.34,171.96893,2025-11-06 18:00:00
1762452900000,101391.34,101532.53,100916.74,101357.47,284.62287,2025-11-06 18:15:00
1762453800000,101357.46,101837.24,101330.95,101666.13,225.27755,2025-11-06 18:30:00
1762454700000,101666.12,102338.0,101647.32,101722.13,274.29312,2025-11-06 18:45:00
1762455600000,101722.12,101949.99,101580.0,101942.2,196.45164,2025-11-06 19:00:00
