ts,open,high,low,close,volume,datetime
1762429500000,3400.22,3405.83,3397.2,3399.4,2827.7362,2025-11-06 11:45:00
1762430400000,3399.39,3404.78,3389.0,3389.21,4095.0076,2025-11-06 12:00:00
1762431300000,3389.21,3389.99,3372.52,3374.19,3939.1534,2025-11-06 12:15:00
1762432200000,3374.19,3382.36,3348.11,3349.67,9969.6076,2025-11-06 12:30:00
1762433100000,3349.66,3359.04,3342.43,3349.5,6078.0756,2025-11-06 12:45:00
1762434000000,3349.5,3367.61,3349.49,3367.19,3332.0651,2025-11-06 13:00:00
1762434900000,3367.19,3398.61,3361.66,3393.13,9429.5164,2025-11-06 13:15:00
1762435800000,3393.13,3397.33,3383.83,3393.36,3387.9995,2025-11-06 13:30:00
1762436700000,3393.36,3403.52,3390.01,3391.03,4406.81,2025-11-06 13:45:00
1762437600000,3391.03,3400.37,3356.98,3366.99,8061.7377,2025-11-06 14:00:00
1762438500000,3366.98,3373.42,3354.61,3361.98,5347.8116,2025-11-06 14:15:00
1762439400000,3361.99,3362.89,3323.41,3337.84,15842.6297,2025-11-06 14:30:00
1762440300000,3337.83,3355.93,3319.44,3329.01,8819.711,2025-11-06 14:45:00
1762441200000,3329.01,3348.65,3321.87,3337.17,11908.952,2025-11-06 15:00:00
1762442100000,3337.17,3365.67,3335.64,3343.43,6894.688,2025-11-06 15:15:00
1762443000000,3343.44,3344.75,3297.64,3299.96,13953.932,2025-11-06 15:30:00
1762443900000,3299.97,3309.84,3276.54,3300.0,39794.9228,2025-11-06 15:45:00
1762444800000,3300.0,3322.89,3293.11,3294.02,26709.7241,2025-11-06 16:00:00
1762445700000,3294.02,3304.92,3284.31,3303.73,7483.0678,2025-11-06 16:15:00
1762446600000,3303.71,3303.71,3249.12,3260.57,14325.0529,2025-11-06 16:30:00
1762447500000,3260.57,3287.75,3245.45,3276.59,13391.0356,2025-11-06 16:45:00
1762448400000,3276.6,3305.2,3275.51,3281.42,9289.6792,2025-11-06 17:00:00
1762449300000,3281.42,3313.15,3270.7,3307.99,12193.4615,2025-11-06 17:15:00
1762450200000,3307.98,3319.44,3299.0,3310.2,9740.7364,2025-11-06 17:30:00
1762451100000,3310.2,3340.71,3310.03,3329.65,10113.6536,2025-11-06 17:45:00
1762452000000,3329.65,3334.97,3308.33,3315.18,7466.6667,2025-11-06 18:00:00
1762452900000,3315.17,3318.11,3295.33,3310.51,5833.5989,2025-11-06 18:15:00
1762453800000,3310.51,3340.83,3309.69,3336.12,6115.1551,2025-11-06 18:30:00
1762454700000,3336.13,3352.37,3326.15,3329.43,8199.6936,2025-11-06 18:45:00
1762455600000,3329.42,3341.4,3324.45,3340.34,4877.5235,2025-11-06 19:00:00
1762456500000,3340.35,3343.73,3330.97,3338.3,3809.2933,2025-11-06 19:15:00
1762457400000,3338.31,3342.8,3316.67,3322.98,5515.4922,2025-11-06 19:30:00
1762458300000,3322.99,3331.95,3309.99,3325.8,4315.49,2025-11-06 19:45:00
1762459200000,3325.86,3337.3,3317.18,3317.98,4196.2142,2025-11-06 20:00:00
1762460100000,3317.98,3325.45,3305.49,3308.13,4123.2177,2025-11-06 20:15:00
1762461000000,3308.12,3312.45,3290.13,3292.69,4269.3673,2025-11-06 20:30:00
1762461900000,3292.69,3306.56,3287.77,3306.41,6407.8657,2025-11-06 20:45:00
1762462800000,3306.41,3309.18,3292.7,3300.45,3184.7488,2025-11-06 21:00:00
1762463700000,3300.45,3316.72,3294.27,3315.68,3056.7174,2025-11-06 21:15:00
1762464600000,3315.68,3331.48,3313.39,3323.84,2724.5309,2025-11-06 21:30:00
1762465500000,3323.83,3335.57,3313.44,3326.04,3967.3132,2025-11-06 21:45:00
1762466400000,3326.04,3330.35,3312.68,3313.02,2726.8312,2025-11-06 22:00:00
1762467300000,3313.02,3322.33,3308.26,3312.77,2792.4615,2025-11-06 22:15:00
1762468200000,3312.78,3319.14,3299.12,3304.29,3895.051,2025-11-06 22:30:00
1762469100000,3304.29,3323.12,3295.29,3319.61,4010.5553,2025-11-06 22:45:00
1762470000000,3319.61,3319.61,3301.27,3312.78,2754.9761,2025-11-06 23:00:00
1762470900000,3312.79,3317.21,3290.4,3304.51,4407.5488,2025-11-06 23:15:00
1762471800000,3304.52,3307.26,3291.37,3303.69,2842.7558,2025-11-06 23:30:00
1762472700000,3303.69,3315.15,3303.69,3315.14,2373.5099,2025-11-06 23:45:00
1762473600000,3315.14,3329.41,3309.55,3317.38,4734.4764,2025-11-07 00:00:00
1762474500000,3317.39,3327.71,3294.11,3301.4,4984.2565,2025-11-07 00:15:00
1762475400000,3301.41,3331.99,3294.39,3325.17,5890.6897,2025-11-07 00:30:00
1762476300000,3325.17,3332.29,3316.35,3324.97,4259.2738,2025-11-07 00:45:00
1762477200000,3324.98,3330.82,3295.76,3309.72,5556.1735,2025-11-07 01:00:00
1762478100000,3309.72,3328.18,3305.41,3322.04,5065.7784,2025-11-07 01:15:00
1762479000000,3322.04,3322.13,3276.19,3292.54,10559.6954,2025-11-07 01:30:00
1762479900000,3292.51,3325.14,3287.2,3324.79,6858.7728,2025-11-07 01:45:00
1762480800000,3324.79,3327.36,3315.0,3317.18,5391.1748,2025-11-07 02:00:00
1762481700000,3317.19,3324.92,3304.26,3304.92,4203.3431,2025-11-07 02:15:00
1762482600000,3304.92,3331.39,3304.92,3327.8,6449.8241,2025-11-07 02:30:00
1762483500000,3327.8,3352.38,3323.11,3346.66,9283.2623,2025-11-07 02:45:00
1762484400000,3346.68,3360.26,3343.22,3358.12,6537.5727,2025-11-07 03:00:00
1762485300000,3358.12,3365.32,3353.98,3361.86,5393.894,2025-11-07 03:15:00
1762486200000,3361.85,3362.29,3350.6,3352.53,4510.0907,2025-11-07 03:30:00
1762487100000,3352.53,3352.53,3342.93,3345.12,3120.0059,2025-11-07 03:45:00
1762488000000,3345.12,3348.55,3329.54,3329.56,4724.0735,2025-11-07 04:00:00
1762488900000,3329.57,3343.26,3329.54,3341.0,2714.8744,2025-11-07 04:15:00
1762489800000,3341.0,3341.0,3319.59,3331.14,5278.0114,2025-11-07 04:30:00
1762490700000,3331.14,3340.0,3329.0,3338.42,2580.7229,2025-11-07 04:45:00
1762491600000,3338.42,3363.69,3337.69,3360.66,4410.3376,2025-11-07 05:00:00
1762492500000,3360.67,3362.08,3351.46,3359.54,2758.3175,2025-11-07 05:15:00
1762493400000,3359.51,3364.99,3356.12,3358.74,4666.2752,2025-11-07 05:30:00
1762494300000,3358.74,3369.99,3356.11,3366.78,3563.1276,2025-11-07 05:45:00
1762495200000,3366.79,3367.4,3359.28,3364.58,1421.2274,2025-11-07 06:00:00
1762496100000,3364.59,3369.99,3360.53,3360.72,1976.1728,2025-11-07 06:15:00
1762497000000,3360.72,3360.73,3352.55,3355.95,2447.9009,2025-11-07 06:30:00
1762497900000,3355.96,3356.07,3347.51,3348.02,2405.1945,2025-11-07 06:45:00
1762498800000,3348.02,3360.83,3348.01,3354.55,1913.9963,2025-11-07 07:00:00
1762499700000,3354.56,3364.25,3340.0,3345.77,5093.2426,2025-11-07 07:15:00
1762500600000,3345.76,3347.95,3334.25,3347.13,9155.5534,2025-11-07 07:30:00
1762501500000,3347.13,3359.5,3347.12,3358.42,5484.1437,2025-11-07 07:45:00
1762502400000,3358.41,3360.67,3352.9,3358.09,1937.2448,2025-11-07 08:00:00
1762503300000,3358.1,3359.59,3343.12,3349.89,2775.6926,2025-11-07 08:15:00
1762504200000,3349.89,3350.7,3334.14,3337.15,3680.8243,2025-11-07 08:30:00
1762505100000,3337.16,3342.53,3334.91,3342.04,3149.4818,2025-11-07 08:45:00
1762506000000,3342.04,3342.04,3322.0,3326.15,4584.7815,2025-11-07 09:00:00
1762506900000,3326.15,3333.56,3305.54,3307.03,5497.5296,2025-11-07 09:15:00
1762507800000,3307.03,3312.76,3289.75,3294.69,6688.3887,2025-11-07 09:30:00
1762508700000,3294.69,3302.03,3290.82,3301.48,2765.4811,2025-11-07 09:45:00
1762509600000,3301.47,3310.33,3293.62,3294.11,4300.4285,2025-11-07 10:00:00
1762510500000,3294.12,3294.47,3272.47,3279.22,8135.1902,2025-11-07 10:15:00
1762511400000,3279.22,3289.47,3278.86,3289.46,1614.3221,2025-11-07 10:30:00
1762512300000,3289.46,3289.56,3272.5,3280.55,2012.7087,2025-11-07 10:45:00
1762513200000,3280.54,3280.54,3254.1,3254.4,8512.4168,2025-11-07 11:00:00
1762514100000,3254.41,3260.68,3225.36,3232.01,22476.9997,2025-11-07 11:15:00
1762515000000,3232.02,3244.28,3226.28,3239.13,6190.304,2025-11-07 11:30:00
1762515900000,3239.13,3266.0,3237.81,3259.97,11042.4052,2025-11-07 11:45:00
1762516800000,3259.97,3274.4,3247.05,3248.36,10328.6652,2025-11-07 12:00:00
1762517700000,3248.37,3250.45,3210.01,3215.28,15337.802,2025-11-07 12:15:00
1762518600000,3215.28,3218.23,3200.03,3215.0,14227.0343,2025-11-07 12:30:00
1762519500000,3215.0,3225.1,3197.0,3223.05,11537.3765,2025-11-07 12:45:00
1762520400000,3223.04,3242.85,3214.41,3230.24,8534.1057,2025-11-07 13:00:00
1762521300000,3230.24,3248.88,3223.77,3237.37,6661.0396,2025-11-07 13:15:00
1762522200000,3237.37,3244.66,3227.04,3233.5,4502.2839,2025-11-07 13:30:00
1762523100000,3233.5,3249.76,3231.79,3240.99,4711.9437,2025-11-07 13:45:00
1762524000000,3240.99,3248.49,3226.7,3239.54,6263.4504,2025-11-07 14:00:00
1762524900000,3239.55,3239.72,3225.24,3230.65,5124.0957,2025-11-07 14:15:00
1762525800000,3230.67,3277.24,3194.2,3277.24,31586.0079,2025-11-07 14:30:00
1762526700000,3277.24,3299.29,3255.58,3289.43,25783.5875,2025-11-07 14:45:00
1762527600000,3289.43,3314.11,3262.82,3313.72,22727.2442,2025-11-07 15:00:00
1762528500000,3313.76,3318.35,3293.09,3309.66,16243.2492,2025-11-07 15:15:00
1762529400000,3309.65,3315.74,3281.68,3285.55,19197.947,2025-11-07 15:30:00
1762530300000,3285.55,3316.15,3281.59,3297.52,9718.0883,2025-11-07 15:45:00
1762531200000,3297.52,3304.55,3273.99,3277.15,11165.5135,2025-11-07 16:00:00
1762532100000,3277.15,3333.0,3275.4,3325.12,17716.8426,2025-11-07 16:15:00
1762533000000,3325.12,3328.47,3304.6,3318.51,9426.2783,2025-11-07 16:30:00
1762533900000,3318.51,3323.5,3295.67,3309.2,8927.4853,2025-11-07 16:45:00
1762534800000,3309.2,3334.34,3296.99,3331.96,11237.2635,2025-11-07 17:00:00
1762535700000,3331.95,3387.31,3330.33,3378.17,18859.9852,2025-11-07 17:15:00
1762536600000,3378.17,3395.37,3376.5,3386.7,10216.2854,2025-11-07 17:30:00
1762537500000,3386.69,3390.19,3365.48,3385.63,8654.203,2025-11-07 17:45:00
1762538400000,3385.63,3400.43,3377.9,3396.68,7840.8493,2025-11-07 18:00:00
1762539300000,3396.68,3422.73,3387.98,3421.29,13275.5871,2025-11-07 18:15:00
1762540200000,3421.28,3435.29,3416.81,3429.32,7585.053,2025-11-07 18:30:00
1762541100000,3429.32,3431.94,3411.02,3426.17,7817.9555,2025-11-07 18:45:00
1762542000000,3426.16,3438.42,3417.35,3436.53,5358.6084,2025-11-07 19:00:00
1762542900000,3436.54,3439.82,3425.44,3428.02,4321.9998,2025-11-07 19:15:00
1762543800000,3428.03,3450.0,3427.87,3446.96,5401.3404,2025-11-07 19:30:00
1762544700000,3446.96,3448.1,3433.66,3443.6,4604.806,2025-11-07 19:45:00
1762545600000,3443.6,3452.36,3431.19,3443.86,9977.1249,2025-11-07 20:00:00
1762546500000,3443.87,3448.44,3430.23,3444.76,7991.4514,2025-11-07 20:15:00
1762547400000,3444.8,3465.81,3444.8,3462.52,6091.3935,2025-11-07 20:30:00
1762548300000,3462.52,3471.43,3456.38,3465.25,5957.5996,2025-11-07 20:45:00
1762549200000,3465.26,3466.38,3449.53,3460.84,4347.4814,2025-11-07 21:00:00
1762550100000,3460.73,3469.28,3459.47,3464.18,2554.6803,2025-11-07 21:15:00
1762551000000,3464.17,3468.3,3461.66,3465.52,3285.6814,2025-11-07 21:30:00
1762551900000,3465.51,3470.58,3461.66,3468.83,1998.1389,2025-11-07 21:45:00
1762552800000,3468.83,3473.0,3447.5,3449.34,4428.6403,2025-11-07 22:00:00
1762553700000,3449.34,3460.78,3449.34,3459.19,2348.0753,2025-11-07 22:15:00
1762554600000,3459.19,3459.19,3447.23,3449.25,3067.2791,2025-11-07 22:30:00
1762555500000,3449.26,3456.03,3443.79,3445.89,2299.9523,2025-11-07 22:45:00
1762556400000,3445.9,3449.93,3440.88,3443.99,3704.5267,2025-11-07 23:00:00
1762557300000,3444.0,3446.54,3435.0,3437.48,4314.3863,2025-11-07 23:15:00
1762558200000,3437.49,3447.24,3435.0,3437.62,3422.585,2025-11-07 23:30:00
1762559100000,3437.61,3442.77,3433.23,3436.05,3978.7562,2025-11-07 23:45:00
1762560000000,3436.04,3438.38,3421.05,3432.81,7394.8086,2025-11-08 00:00:00
1762560900000,3432.81,3439.43,3424.51,3425.93,2645.6894,2025-11-08 00:15:00
1762561800000,3425.94,3433.73,3405.87,3432.49,6601.3851,2025-11-08 00:30:00
1762562700000,3432.48,3448.84,3423.79,3424.55,4797.8636,2025-11-08 00:45:00
1762563600000,3424.55,3445.44,3422.13,3435.95,4023.6194,2025-11-08 01:00:00
1762564500000,3435.96,3446.99,3434.71,3437.53,2148.2268,2025-11-08 01:15:00
1762565400000,3437.53,3446.09,3429.15,3438.04,2657.1527,2025-11-08 01:30:00
1762566300000,3438.05,3442.67,3431.62,3437.27,2564.0897,2025-11-08 01:45:00
1762567200000,3437.26,3457.41,3432.58,3448.53,4858.2084,2025-11-08 02:00:00
1762568100000,3448.53,3458.66,3446.0,3452.08,2821.8981,2025-11-08 02:15:00
1762569000000,3452.08,3460.0,3450.16,3454.78,2780.2077,2025-11-08 02:30:00
1762569900000,3454.77,3458.28,3439.64,3440.9,3223.6408,2025-11-08 02:45:00
1762570800000,3440.91,3457.75,3439.55,3447.25,3199.5408,2025-11-08 03:00:00
1762571700000,3447.26,3457.19,3444.43,3454.91,1839.0985,2025-11-08 03:15:00
1762572600000,3454.91,3461.92,3446.6,3456.11,5664.8449,2025-11-08 03:30:00
1762573500000,3456.11,3467.64,3453.33,3454.19,4516.0161,2025-11-08 03:45:00
1762574400000,3454.18,3465.6,3454.18,3460.39,2566.6495,2025-11-08 04:00:00
1762575300000,3460.39,3471.66,3450.1,3451.47,3656.6937,2025-11-08 04:15:00
1762576200000,3451.48,3488.0,3449.01,3473.04,8220.7003,2025-11-08 04:30:00
1762577100000,3473.04,3478.78,3457.12,3459.0,3343.8654,2025-11-08 04:45:00
1762578000000,3459.0,3466.99,3441.01,3447.14,3589.1527,2025-11-08 05:00:00
1762578900000,3447.14,3452.2,3437.1,3445.6,3234.3401,2025-11-08 05:15:00
1762579800000,3445.61,3448.62,3434.26,3439.64,2546.446,2025-11-08 05:30:00
1762580700000,3439.65,3444.48,3425.81,3431.18,3316.8483,2025-11-08 05:45:00
1762581600000,3431.19,3436.8,3418.6,3421.55,4606.9534,2025-11-08 06:00:00
1762582500000,3421.56,3450.0,3421.47,3445.04,5603.804,2025-11-08 06:15:00
1762583400000,3445.04,3455.0,3444.08,3450.31,2965.2019,2025-11-08 06:30:00
1762584300000,3450.32,3455.0,3442.69,3445.45,1730.0336,2025-11-08 06:45:00
1762585200000,3445.46,3446.1,3436.7,3440.62,2051.9797,2025-11-08 07:00:00
1762586100000,3440.63,3445.14,3424.93,3434.19,3180.4888,2025-11-08 07:15:00
1762587000000,3434.2,3446.26,3429.99,3445.51,1499.7897,2025-11-08 07:30:00
1762587900000,3445.51,3451.47,3445.08,3447.9,1544.1043,2025-11-08 07:45:00
1762588800000,3447.89,3454.95,3443.11,3449.69,2414.7839,2025-11-08 08:00:00
1762589700000,3449.69,3457.42,3436.16,3452.31,3114.7079,2025-11-08 08:15:00
1762590600000,3452.32,3468.91,3451.75,3464.57,4019.4439,2025-11-08 08:30:00
1762591500000,3464.56,3473.42,3454.73,3454.73,3529.1023,2025-11-08 08:45:00
1762592400000,3454.74,3455.25,3448.65,3451.18,1578.9558,2025-11-08 09:00:00
1762593300000,3451.18,3463.75,3449.5,3460.63,1440.7662,2025-11-08 09:15:00
1762594200000,3460.62,3464.78,3457.16,3458.64,877.5334,2025-11-08 09:30:00
1762595100000,3458.64,3460.35,3438.96,3439.88,3336.6969,2025-11-08 09:45:00
