ts,open,high,low,close,volume,datetime
1730930400000,2686.62,2744.7,2684.0,2735.31,30227.3198,2024-11-06 22:00:00
1730934000000,2735.31,2741.6,2711.58,2721.87,24151.5757,2024-11-06 23:00:00
1730937600000,2721.88,2725.7,2699.49,2725.7,21967.6637,2024-11-07 00:00:00
1730941200000,2725.7,2837.2,2723.8,2813.46,115907.1268,2024-11-07 01:00:00
1730944800000,2813.46,2877.43,2810.91,2871.8,48003.0113,2024-11-07 02:00:00
1730948400000,2871.81,2880.0,2836.46,2852.42,53232.2978,2024-11-07 03:00:00
1730952000000,2852.43,2855.0,2825.3,2838.75,27822.5343,2024-11-07 04:00:00
1730955600000,2838.74,2849.86,2833.41,2838.9,20488.2341,2024-11-07 05:00:00
1730959200000,2838.9,2839.2,2779.91,2802.51,39315.8176,2024-11-07 06:00:00
1730962800000,2802.5,2825.5,2796.5,2820.29,16495.9589,2024-11-07 07:00:00
1730966400000,2820.3,2830.0,2804.44,2821.29,18717.5014,2024-11-07 08:00:00
1730970000000,2821.29,2829.99,2816.26,2822.15,14599.2545,2024-11-07 09:00:00
1730973600000,2822.15,2822.15,2805.71,2818.32,14182.3917,2024-11-07 10:00:00
1730977200000,2818.33,2825.31,2790.0,2792.28,18355.242,2024-11-07 11:00:00
1730980800000,2792.28,2821.25,2790.2,2818.57,14710.3317,2024-11-07 12:00:00
1730984400000,2818.57,2822.97,2803.0,2805.0,16441.5217,2024-11-07 13:00:00
1730988000000,2805.0,2819.0,2776.0,2792.62,34614.3189,2024-11-07 14:00:00
1730991600000,2792.62,2849.0,2780.9,2847.49,34718.2763,2024-11-07 15:00:00
1730995200000,2847.5,2852.47,2823.75,2844.64,24528.7219,2024-11-07 16:00:00
1730998800000,2844.64,2871.57,2833.34,2860.99,30098.0353,2024-11-07 17:00:00
1731002400000,2861.0,2890.0,2837.4,2879.17,30141.3725,2024-11-07 18:00:00
1731006000000,2879.16,2893.8,2850.99,2885.0,37051.7055,2024-11-07 19:00:00
1731009600000,2885.0,2907.75,2876.43,2896.68,36926.9359,2024-11-07 20:00:00
1731013200000,2896.68,2916.11,2888.11,2890.85,29819.5708,2024-11-07 21:00:00
1731016800000,2890.84,2895.77,2864.25,2881.41,18197.0703,2024-11-07 22:00:00
1731020400000,2881.42,2902.5,2867.54,2895.47,14511.0575,2024-11-07 23:00:00
1731024000000,2895.47,2954.94,2895.4,2907.07,50486.3286,2024-11-08 00:00:00
1731027600000,2907.08,2928.21,2897.49,2922.41,32117.6717,2024-11-08 01:00:00
1731031200000,2922.42,2928.3,2886.4,2889.65,24983.1131,2024-11-08 02:00:00
1731034800000,2889.65,2909.0,2886.5,2902.42,18939.8191,2024-11-08 03:00:00
1731038400000,2902.42,2916.58,2900.0,2901.81,15380.1499,2024-11-08 04:00:00
1731042000000,2901.8,2924.2,2901.01,2924.19,16147.5021,2024-11-08 05:00:00
1731045600000,2924.19,2924.19,2904.25,2908.63,10401.7625,2024-11-08 06:00:00
1731049200000,2908.63,2919.8,2892.0,2911.96,28812.3201,2024-11-08 07:00:00
1731052800000,2911.88,2913.62,2893.33,2899.18,18586.3002,2024-11-08 08:00:00
1731056400000,2899.18,2918.0,2897.61,2913.59,14823.9923,2024-11-08 09:00:00
1731060000000,2913.58,2930.89,2903.0,2923.52,16647.3739,2024-11-08 10:00:00
1731063600000,2923.52,2926.93,2913.8,2914.39,12135.2487,2024-11-08 11:00:00
1731067200000,2914.4,2940.8,2910.11,2936.48,18078.7252,2024-11-08 12:00:00
1731070800000,2936.49,2952.8,2924.6,2946.81,23434.0058,2024-11-08 13:00:00
1731074400000,2946.81,2956.56,2909.09,2913.1,33520.8842,2024-11-08 14:00:00
1731078000000,2913.09,2946.25,2903.0,2937.04,35074.4124,2024-11-08 15:00:00
1731081600000,2937.03,2944.66,2905.31,2906.37,31977.9563,2024-11-08 16:00:00
1731085200000,2906.36,2925.75,2890.04,2919.5,26417.5645,2024-11-08 17:00:00
1731088800000,2919.5,2971.21,2915.51,2957.93,40001.7836,2024-11-08 18:00:00
1731092400000,2957.93,2981.69,2949.94,2949.96,28108.4493,2024-11-08 19:00:00
1731096000000,2949.96,2958.71,2925.16,2935.0,26573.4954,2024-11-08 20:00:00
1731099600000,2935.0,2944.74,2915.8,2942.0,20227.5931,2024-11-08 21:00:00
1731103200000,2942.0,2975.45,2940.63,2958.87,18935.4632,2024-11-08 22:00:00
1731106800000,2958.87,2962.43,2952.73,2961.75,7052.5198,2024-11-08 23:00:00
1731110400000,2961.75,2995.0,2954.56,2982.46,29219.739,2024-11-09 00:00:00
