ts,open,high,low,close,volume,datetime
1762429500000,158.79,159.29,158.62,158.85,22442.858,2025-11-06 11:45:00
1762430400000,158.85,159.43,158.37,158.86,38294.738,2025-11-06 12:00:00
1762431300000,158.86,158.87,157.74,157.97,40928.498,2025-11-06 12:15:00
1762432200000,157.97,158.46,157.11,157.15,39251.198,2025-11-06 12:30:00
1762433100000,157.15,157.75,157.13,157.49,29103.579,2025-11-06 12:45:00
1762434000000,157.48,158.4,157.48,158.25,18653.449,2025-11-06 13:00:00
1762434900000,158.25,161.26,158.25,160.85,121589.689,2025-11-06 13:15:00
1762435800000,160.85,161.15,160.27,160.75,49742.08,2025-11-06 13:30:00
1762436700000,160.75,161.33,160.48,160.65,32210.697,2025-11-06 13:45:00
1762437600000,160.64,161.51,159.06,159.55,47814.943,2025-11-06 14:00:00
1762438500000,159.54,159.85,158.49,158.79,24639.939,2025-11-06 14:15:00
1762439400000,158.79,158.85,157.35,158.11,85693.838,2025-11-06 14:30:00
1762440300000,158.11,159.16,157.47,157.8,64603.864,2025-11-06 14:45:00
1762441200000,157.79,158.62,157.27,157.83,61642.612,2025-11-06 15:00:00
1762442100000,157.82,158.99,157.35,157.63,64754.876,2025-11-06 15:15:00
1762443000000,157.64,157.81,155.52,155.6,114737.194,2025-11-06 15:30:00
1762443900000,155.6,156.33,155.4,155.92,99353.018,2025-11-06 15:45:00
1762444800000,155.92,156.99,155.74,156.05,57117.139,2025-11-06 16:00:00
1762445700000,156.05,156.62,155.7,156.56,51140.404,2025-11-06 16:15:00
1762446600000,156.55,156.66,153.8,154.66,130747.159,2025-11-06 16:30:00
1762447500000,154.66,156.16,154.48,155.4,90657.058,2025-11-06 16:45:00
1762448400000,155.4,156.66,155.29,155.49,59479.42,2025-11-06 17:00:00
1762449300000,155.49,156.66,154.84,156.51,52350.784,2025-11-06 17:15:00
1762450200000,156.5,156.82,156.08,156.46,29523.023,2025-11-06 17:30:00
1762451100000,156.46,157.64,156.45,157.26,43519.701,2025-11-06 17:45:00
1762452000000,157.26,157.59,156.36,156.72,36124.826,2025-11-06 18:00:00
1762452900000,156.71,156.8,155.46,156.03,37529.452,2025-11-06 18:15:00
1762453800000,156.02,158.19,155.97,157.84,41686.488,2025-11-06 18:30:00
1762454700000,157.85,158.67,157.32,157.49,33248.151,2025-11-06 18:45:00
1762455600000,157.49,157.83,157.04,157.57,26721.783,2025-11-06 19:00:00
1762456500000,157.57,157.78,156.91,157.29,21102.311,2025-11-06 19:15:00
1762457400000,157.29,157.55,156.15,156.76,28198.331,2025-11-06 19:30:00
1762458300000,156.76,157.14,156.22,156.89,29745.337,2025-11-06 19:45:00
1762459200000,156.89,157.82,156.89,157.03,28263.108,2025-11-06 20:00:00
1762460100000,157.04,157.56,156.36,156.42,17810.626,2025-11-06 20:15:00
1762461000000,156.43,156.47,154.85,155.0,33955.279,2025-11-06 20:30:00
1762461900000,155.01,155.63,154.64,155.31,41386.733,2025-11-06 20:45:00
1762462800000,155.31,155.84,154.8,155.06,23579.726,2025-11-06 21:00:00
1762463700000,155.06,155.62,154.67,155.56,21437.915,2025-11-06 21:15:00
1762464600000,155.57,156.68,155.52,156.38,18454.049,2025-11-06 21:30:00
1762465500000,156.37,156.94,155.85,156.49,21333.931,2025-11-06 21:45:00
