ts,open,high,low,close,volume,datetime
1730930400000,188.86,190.01,188.35,189.04,183821.071,2024-11-06 22:00:00
1730934000000,189.03,189.19,186.55,186.59,181284.049,2024-11-06 23:00:00
1730937600000,186.59,187.44,185.84,187.27,165544.144,2024-11-07 00:00:00
1730941200000,187.27,191.85,186.81,189.47,397434.466,2024-11-07 01:00:00
1730944800000,189.47,191.95,189.35,191.42,203570.226,2024-11-07 02:00:00
1730948400000,191.43,191.45,188.58,189.08,177076.819,2024-11-07 03:00:00
1730952000000,189.08,190.04,188.1,188.5,153803.465,2024-11-07 04:00:00
1730955600000,188.51,188.89,187.68,188.86,111981.538,2024-11-07 05:00:00
1730959200000,188.86,188.97,186.0,187.46,173628.22,2024-11-07 06:00:00
1730962800000,187.45,188.41,187.0,188.01,94494.383,2024-11-07 07:00:00
1730966400000,188.01,189.35,187.91,188.97,121311.159,2024-11-07 08:00:00
1730970000000,188.97,188.99,187.57,188.38,78934.716,2024-11-07 09:00:00
1730973600000,188.38,188.42,186.57,187.54,106665.953,2024-11-07 10:00:00
1730977200000,187.53,187.88,185.96,186.04,114096.801,2024-11-07 11:00:00
1730980800000,186.05,187.97,185.97,187.57,88748.882,2024-11-07 12:00:00
1730984400000,187.57,188.4,185.96,186.08,99703.945,2024-11-07 13:00:00
1730988000000,186.08,188.36,185.97,187.67,127591.955,2024-11-07 14:00:00
1730991600000,187.67,192.78,187.39,192.66,329265.485,2024-11-07 15:00:00
1730995200000,192.65,194.37,190.94,193.92,352602.47,2024-11-07 16:00:00
1730998800000,193.91,196.15,192.85,195.95,277255.454,2024-11-07 17:00:00
1731002400000,195.95,197.84,194.62,196.87,323792.613,2024-11-07 18:00:00
1731006000000,196.85,197.28,194.26,197.0,212004.791,2024-11-07 19:00:00
1731009600000,196.99,197.6,195.83,197.12,152821.007,2024-11-07 20:00:00
1731013200000,197.12,197.78,196.18,196.22,105461.435,2024-11-07 21:00:00
1731016800000,196.21,196.84,194.5,195.25,112160.881,2024-11-07 22:00:00
1731020400000,195.25,196.54,194.13,196.35,130379.012,2024-11-07 23:00:00
1731024000000,196.36,201.0,196.35,198.9,549125.374,2024-11-08 00:00:00
1731027600000,198.9,200.33,197.67,198.29,300030.903,2024-11-08 01:00:00
1731031200000,198.29,198.5,195.64,195.94,166542.187,2024-11-08 02:00:00
1731034800000,195.95,198.58,195.74,198.15,92975.433,2024-11-08 03:00:00
1731038400000,198.16,198.93,197.57,197.77,117429.342,2024-11-08 04:00:00
1731042000000,197.78,200.18,197.72,199.2,160561.698,2024-11-08 05:00:00
1731045600000,199.19,199.83,198.0,198.79,121873.167,2024-11-08 06:00:00
1731049200000,198.79,200.8,197.39,200.38,231478.778,2024-11-08 07:00:00
1731052800000,200.38,200.5,198.09,199.26,136804.665,2024-11-08 08:00:00
1731056400000,199.26,202.86,198.9,202.29,311170.501,2024-11-08 09:00:00
1731060000000,202.28,204.19,201.0,203.57,236364.242,2024-11-08 10:00:00
1731063600000,203.57,205.0,202.96,203.06,262208.319,2024-11-08 11:00:00
1731067200000,203.05,204.1,202.34,202.66,137078.287,2024-11-08 12:00:00
1731070800000,202.65,205.0,202.16,204.57,225891.794,2024-11-08 13:00:00
1731074400000,204.56,204.97,199.41,199.61,369295.916,2024-11-08 14:00:00
1731078000000,199.6,201.99,198.41,200.99,390579.528,2024-11-08 15:00:00
1731081600000,200.98,201.55,196.96,197.07,282949.382,2024-11-08 16:00:00
1731085200000,197.07,199.56,196.21,199.14,210150.49,2024-11-08 17:00:00
1731088800000,199.14,202.1,198.52,199.62,239932.736,2024-11-08 18:00:00
1731092400000,199.62,201.59,199.53,199.55,185153.948,2024-11-08 19:00:00
1731096000000,199.54,200.19,197.66,198.47,149376.815,2024-11-08 20:00:00
1731099600000,198.47,199.15,197.1,198.83,95041.332,2024-11-08 21:00:00
1731103200000,198.83,199.77,198.27,198.91,90482.657,2024-11-08 22:00:00
1731106800000,198.92,199.97,198.18,199.85,66746.694,2024-11-08 23:00:00
1731110400000,199.86,200.12,198.63,199.65,81778.925,2024-11-09 00:00:00
1731114000000,199.65,200.07,198.7,199.37,84959.83,2024-11-09 01:00:00
1731117600000,199.36,199.85,197.21,199.55,113263.107,2024-11-09 02:00:00
1731121200000,199.54,200.26,198.2,198.97,104329.404,2024-11-09 03:00:00
1731124800000,198.96,200.11,198.96,199.62,76754.175,2024-11-09 04:00:00
1731128400000,199.63,201.82,199.46,200.94,174211.631,2024-11-09 05:00:00
1731132000000,200.95,202.41,200.4,200.81,129517.259,2024-11-09 06:00:00
1731135600000,200.81,200.91,199.64,200.26,73739.073,2024-11-09 07:00:00
1731139200000,200.27,202.56,199.91,201.43,133926.963,2024-11-09 08:00:00
1731142800000,201.43,202.62,201.37,201.77,94346.336,2024-11-09 09:00:00
1731146400000,201.77,203.45,201.38,203.03,112882.311,2024-11-09 10:00:00
1731150000000,203.02,203.14,201.4,202.18,94471.863,2024-11-09 11:00:00
1731153600000,202.17,202.56,200.0,200.01,130706.109,2024-11-09 12:00:00
1731157200000,200.01,201.0,199.38,199.59,90055.678,2024-11-09 13:00:00
1731160800000,199.59,199.6,197.46,198.21,195079.677,2024-11-09 14:00:00
1731164400000,198.22,198.72,197.35,198.4,132322.8,2024-11-09 15:00:00
1731168000000,198.39,198.71,196.54,196.75,153275.103,2024-11-09 16:00:00
1731171600000,196.75,198.1,194.86,198.01,215382.966,2024-11-09 17:00:00
1731175200000,198.01,198.95,197.77,198.81,89401.835,2024-11-09 18:00:00
1731178800000,198.82,199.59,197.47,197.75,105125.128,2024-11-09 19:00:00
1731182400000,197.75,198.65,197.4,198.51,59727.835,2024-11-09 20:00:00
1731186000000,198.51,199.41,198.03,198.33,61897.699,2024-11-09 21:00:00
1731189600000,198.33,200.09,198.14,200.05,103101.68,2024-11-09 22:00:00
1731193200000,200.05,201.99,199.55,199.89,223047.609,2024-11-09 23:00:00
1731196800000,199.89,201.8,198.68,200.49,181566.745,2024-11-10 00:00:00
1731200400000,200.49,200.71,198.75,200.1,135341.721,2024-11-10 01:00:00
1731204000000,200.09,204.91,200.0,202.39,445292.105,2024-11-10 02:00:00
1731207600000,202.4,203.31,201.41,201.42,171212.41,2024-11-10 03:00:00
1731211200000,201.41,205.45,200.92,204.96,297841.413,2024-11-10 04:00:00
1731214800000,204.95,209.0,204.33,206.87,632600.01,2024-11-10 05:00:00
1731218400000,206.86,207.32,204.74,205.72,301559.248,2024-11-10 06:00:00
1731222000000,205.72,206.78,205.01,205.06,300724.761,2024-11-10 07:00:00
1731225600000,205.06,205.58,204.02,205.31,162964.474,2024-11-10 08:00:00
1731229200000,205.31,206.26,204.7,205.31,197575.902,2024-11-10 09:00:00
1731232800000,205.31,206.12,204.49,205.35,220461.996,2024-11-10 10:00:00
1731236400000,205.36,207.39,204.75,206.59,185235.003,2024-11-10 11:00:00
1731240000000,206.59,207.68,203.47,205.49,370837.107,2024-11-10 12:00:00
1731243600000,205.49,206.83,204.8,206.63,194540.924,2024-11-10 13:00:00
1731247200000,206.63,209.47,204.36,206.54,460630.567,2024-11-10 14:00:00
1731250800000,206.55,213.3,205.57,212.23,661766.55,2024-11-10 15:00:00
1731254400000,212.23,212.75,209.0,211.05,403173.541,2024-11-10 16:00:00
1731258000000,211.05,215.27,210.53,212.75,356834.127,2024-11-10 17:00:00
1731261600000,212.75,214.86,211.88,212.25,370859.184,2024-11-10 18:00:00
1731265200000,212.25,213.07,206.25,208.47,376025.382,2024-11-10 19:00:00
1731268800000,208.48,209.54,202.39,202.49,395527.577,2024-11-10 20:00:00
1731272400000,202.49,208.21,199.73,207.33,467762.449,2024-11-10 21:00:00
1731276000000,207.33,213.97,206.7,210.53,462288.113,2024-11-10 22:00:00
1731279600000,210.53,211.0,208.53,210.07,216006.921,2024-11-10 23:00:00
1731283200000,210.07,211.0,209.41,210.67,325563.242,2024-11-11 00:00:00
1731286800000,210.66,212.38,209.43,210.49,277234.52,2024-11-11 01:00:00
1731290400000,210.48,211.7,209.5,211.45,265557.715,2024-11-11 02:00:00
1731294000000,211.44,211.5,208.13,210.0,235907.772,2024-11-11 03:00:00
1731297600000,210.0,210.26,206.43,207.89,190541.13,2024-11-11 04:00:00
1731301200000,207.89,208.15,204.16,206.14,468874.424,2024-11-11 05:00:00
1731304800000,206.15,208.22,205.01,207.06,417548.721,2024-11-11 06:00:00
1731308400000,207.07,208.67,206.48,208.01,227138.045,2024-11-11 07:00:00
1731312000000,208.0,209.42,206.6,208.77,164272.237,2024-11-11 08:00:00
1731315600000,208.77,211.18,208.0,211.05,259397.534,2024-11-11 09:00:00
1731319200000,211.06,216.79,210.93,215.7,669823.071,2024-11-11 10:00:00
1731322800000,215.69,217.67,214.63,217.62,326742.809,2024-11-11 11:00:00
1731326400000,217.62,219.38,215.3,216.03,476490.876,2024-11-11 12:00:00
1731330000000,216.03,217.2,214.47,217.04,317319.894,2024-11-11 13:00:00
1731333600000,217.04,221.0,216.34,218.81,568511.222,2024-11-11 14:00:00
1731337200000,218.81,220.69,217.44,219.0,603934.853,2024-11-11 15:00:00
1731340800000,219.0,222.0,217.65,218.0,595799.4,2024-11-11 16:00:00
1731344400000,218.0,220.45,217.39,219.09,265046.183,2024-11-11 17:00:00
1731348000000,219.09,219.69,216.61,219.3,265886.216,2024-11-11 18:00:00
1731351600000,219.3,221.11,216.03,217.82,418067.392,2024-11-11 19:00:00
1731355200000,217.81,223.0,217.55,218.75,432418.664,2024-11-11 20:00:00
1731358800000,218.76,221.22,217.82,218.89,326031.636,2024-11-11 21:00:00
1731362400000,218.89,220.45,216.67,220.26,273783.97,2024-11-11 22:00:00
1731366000000,220.26,224.0,219.51,222.13,563415.442,2024-11-11 23:00:00
1731369600000,222.12,222.57,215.0,220.46,501396.954,2024-11-12 00:00:00
1731373200000,220.46,221.41,218.3,218.98,371388.935,2024-11-12 01:00:00
1731376800000,218.97,219.93,215.25,217.58,271308.524,2024-11-12 02:00:00
1731380400000,217.59,220.86,216.46,220.64,238520.659,2024-11-12 03:00:00
1731384000000,220.63,221.5,218.42,218.44,217645.052,2024-11-12 04:00:00
1731387600000,218.44,220.24,216.02,217.77,256870.452,2024-11-12 05:00:00
1731391200000,217.77,221.0,217.43,219.92,303694.641,2024-11-12 06:00:00
1731394800000,219.91,221.92,218.6,221.84,302352.941,2024-11-12 07:00:00
1731398400000,221.84,224.95,220.59,224.86,382390.719,2024-11-12 08:00:00
1731402000000,224.86,225.21,215.68,215.7,583162.88,2024-11-12 09:00:00
1731405600000,215.7,217.45,208.49,213.16,1037825.689,2024-11-12 10:00:00
1731409200000,213.15,215.75,210.84,211.13,561850.678,2024-11-12 11:00:00
1731412800000,211.12,213.98,207.27,208.93,643502.435,2024-11-12 12:00:00
1731416400000,208.93,210.25,204.71,209.62,575493.65,2024-11-12 13:00:00
1731420000000,209.62,213.38,206.87,213.3,423968.176,2024-11-12 14:00:00
1731423600000,213.3,213.62,209.93,210.53,381029.563,2024-11-12 15:00:00
1731427200000,210.54,212.52,206.61,211.58,378155.488,2024-11-12 16:00:00
1731430800000,211.59,212.7,209.56,209.62,210903.335,2024-11-12 17:00:00
1731434400000,209.63,214.35,209.61,213.25,214965.244,2024-11-12 18:00:00
