ts,open,high,low,close,volume,datetime
1762429500000,2.2952,2.3006,2.2949,2.3005,1202631.6,2025-11-06 11:45:00
1762430400000,2.3006,2.3028,2.295,2.2983,1451370.9,2025-11-06 12:00:00
1762431300000,2.2983,2.2987,2.2869,2.2884,1020444.8,2025-11-06 12:15:00
1762432200000,2.2884,2.2942,2.2771,2.278,1859733.0,2025-11-06 12:30:00
1762433100000,2.2781,2.2839,2.277,2.2802,2230860.8,2025-11-06 12:45:00
1762434000000,2.2802,2.2935,2.2782,2.2917,1745746.5,2025-11-06 13:00:00
1762434900000,2.2917,2.3095,2.2916,2.3036,3149992.9,2025-11-06 13:15:00
1762435800000,2.3037,2.3056,2.2967,2.305,1132408.2,2025-11-06 13:30:00
1762436700000,2.305,2.3104,2.3014,2.3024,903077.5,2025-11-06 13:45:00
1762437600000,2.3024,2.3069,2.2833,2.2906,1454242.5,2025-11-06 14:00:00
1762438500000,2.2905,2.292,2.2811,2.2847,953367.3,2025-11-06 14:15:00
1762439400000,2.2848,2.2851,2.2663,2.2726,2560359.7,2025-11-06 14:30:00
1762440300000,2.2726,2.2833,2.2565,2.2588,2492417.5,2025-11-06 14:45:00
1762441200000,2.2588,2.2635,2.2521,2.2584,3240775.8,2025-11-06 15:00:00
1762442100000,2.2584,2.2713,2.254,2.2543,3353000.9,2025-11-06 15:15:00
1762443000000,2.2543,2.2553,2.2279,2.2299,3683508.9,2025-11-06 15:30:00
1762443900000,2.23,2.2413,2.2279,2.2343,3196943.8,2025-11-06 15:45:00
1762444800000,2.2343,2.2497,2.2335,2.2362,2117761.6,2025-11-06 16:00:00
1762445700000,2.2361,2.2403,2.2322,2.2397,1382544.0,2025-11-06 16:15:00
1762446600000,2.2396,2.2398,2.2096,2.2178,3056272.1,2025-11-06 16:30:00
1762447500000,2.2178,2.2338,2.2141,2.2283,3145314.3,2025-11-06 16:45:00
1762448400000,2.2284,2.2394,2.2174,2.224,4248935.0,2025-11-06 17:00:00
